epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,45592.3,1.32703,0.45906,0.00099,0.83127,0.79981,0.79873,0.43529,1.42976,0.95769,0.00185,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,46653.6,1.30324,0.45113,0.00101,0.82638,0.8036,0.79817,0.43335,1.4319,0.9626,0.00185,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,47415.4,1.30623,0.45307,0.00099,0.82808,0.80272,0.79773,0.43342,1.43467,0.98694,0.00186,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,48470.3,1.29396,0.44701,0.00098,0.83258,0.79834,0.79896,0.43336,1.43862,0.99706,0.00187,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,49690,1.30861,0.45278,0.00096,0.8295,0.7983,0.79792,0.43171,1.44142,1.06975,0.00187,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,50623.7,1.29564,0.44902,0.00095,0.82835,0.80192,0.79891,0.43109,1.4429,0.98839,0.00188,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,51563.2,1.27882,0.44271,0.00095,0.82854,0.80286,0.79895,0.43138,1.43903,0.99747,0.00187,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,52342.3,1.27714,0.43876,0.00094,0.82862,0.80167,0.79816,0.43179,1.43767,1.03842,0.00187,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,53253.1,1.28092,0.43848,0.00093,0.8295,0.80131,0.79833,0.43156,1.43745,1.00465,0.00187,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,54012.4,1.25725,0.43059,0.00092,0.82831,0.79967,0.79763,0.43061,1.43724,0.98976,0.00186,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,54919.2,1.22878,0.42191,0.00091,0.82947,0.79499,0.79074,0.42697,1.43978,1.00082,0.00187,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
